2023-03-14 15:45:52,733 INFO    Thread-2 (_run_job):1561811 [wandb_setup.py:_flush():68] Configure stats pid to 1561811
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/.config/wandb/settings
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/git/SCA_CNN/wandb/settings
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'for_batch_test_jc_1', 'entity': 'aceleo', 'root_dir': '/home/admin1/git/SCA_CNN', 'sweep_id': 'x06jzjmu', 'run_id': '0empnw7o', 'sweep_param_path': '/home/admin1/git/SCA_CNN/wandb/sweep-x06jzjmu/config-0empnw7o.yaml'}
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/admin1/git/SCA_CNN/main.py'}
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:_log_setup():476] Logging user logs to /home/admin1/git/SCA_CNN/wandb/run-20230314_154552-0empnw7o/logs/debug.log
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:_log_setup():477] Logging internal logs to /home/admin1/git/SCA_CNN/wandb/run-20230314_154552-0empnw7o/logs/debug-internal.log
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():516] calling init triggers
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():519] wandb.init called with sweep_config: {'J': 4, 'Q': 36, 'channel_1': 8, 'channel_2': 8, 'channel_3': 96, 'dense': 2, 'epochs': 200, 'kernel_length': 2, 'kernel_width': 5, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0007243886407214025, 'optimizer': 'adam', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
config: {}
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():569] starting backend
2023-03-14 15:45:52,734 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():573] setting up manager
2023-03-14 15:45:52,738 INFO    Thread-2 (_run_job):1561811 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-14 15:45:52,741 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():580] backend started and connected
2023-03-14 15:45:52,743 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_config_callback():1160] config_cb None None {'J': 4, 'Q': 36, 'channel_1': 8, 'channel_2': 8, 'channel_3': 96, 'dense': 2, 'epochs': 200, 'kernel_length': 2, 'kernel_width': 5, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0007243886407214025, 'optimizer': 'adam', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
2023-03-14 15:45:52,743 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():658] updated telemetry
2023-03-14 15:45:52,746 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-03-14 15:45:53,721 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_on_init():2000] communicating current version
2023-03-14 15:45:54,153 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-14 15:45:54,153 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():728] starting run threads in backend
2023-03-14 15:45:54,199 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_console_start():1980] atexit reg
2023-03-14 15:45:54,199 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-14 15:45:54,199 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-14 15:45:54,199 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-14 15:45:54,200 INFO    Thread-2 (_run_job):1561811 [wandb_init.py:init():765] run started, returning control to user process
2023-03-14 15:45:55,321 INFO    Thread-2 (_run_job):1561811 [wandb_watch.py:watch():51] Watching
2023-03-14 16:04:13,215 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_finish():1746] finishing run aceleo/for_batch_test_jc_1/0empnw7o
2023-03-14 16:04:13,215 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-03-14 16:04:13,216 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_restore():1932] restore
2023-03-14 16:04:13,216 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_restore():1938] restore done
2023-03-14 16:04:21,472 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-03-14 16:04:21,474 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-03-14 16:04:21,476 INFO    Thread-2 (_run_job):1561811 [wandb_run.py:_footer_sync_info():3333] logging synced files
