2023-03-15 10:16:33,662 INFO    Thread-23 (_run_job):1708630 [wandb_setup.py:_flush():68] Configure stats pid to 1708630
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/.config/wandb/settings
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/git/SCA_CNN/wandb/settings
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'for_batch_test_jc_1', 'entity': 'aceleo', 'root_dir': '/home/admin1/git/SCA_CNN', 'run_id': 'mzfpmmhv', 'sweep_param_path': '/home/admin1/git/SCA_CNN/wandb/sweep-np4094tz/config-mzfpmmhv.yaml', 'sweep_id': 'np4094tz'}
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/admin1/git/SCA_CNN/main.py'}
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:_log_setup():476] Logging user logs to /home/admin1/git/SCA_CNN/wandb/run-20230315_101633-mzfpmmhv/logs/debug.log
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:_log_setup():477] Logging internal logs to /home/admin1/git/SCA_CNN/wandb/run-20230315_101633-mzfpmmhv/logs/debug-internal.log
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():516] calling init triggers
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():519] wandb.init called with sweep_config: {'J': 4, 'Q': 8, 'channel_1': 8, 'channel_2': 32, 'channel_3': 32, 'dense': 2, 'epochs': 200, 'kernel_length': 4, 'kernel_width': 5, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0008837245661509845, 'optimizer': 'rmsprop', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
config: {}
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():569] starting backend
2023-03-15 10:16:33,663 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():573] setting up manager
2023-03-15 10:16:33,666 INFO    Thread-23 (_run_job):1708630 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-15 10:16:33,669 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():580] backend started and connected
2023-03-15 10:16:33,672 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_config_callback():1160] config_cb None None {'J': 4, 'Q': 8, 'channel_1': 8, 'channel_2': 32, 'channel_3': 32, 'dense': 2, 'epochs': 200, 'kernel_length': 4, 'kernel_width': 5, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0008837245661509845, 'optimizer': 'rmsprop', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
2023-03-15 10:16:33,672 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():658] updated telemetry
2023-03-15 10:16:33,674 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-03-15 10:16:34,219 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_on_init():2000] communicating current version
2023-03-15 10:16:34,254 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-15 10:16:34,254 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():728] starting run threads in backend
2023-03-15 10:16:34,300 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_console_start():1980] atexit reg
2023-03-15 10:16:34,300 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-15 10:16:34,301 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-15 10:16:34,301 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-15 10:16:34,301 INFO    Thread-23 (_run_job):1708630 [wandb_init.py:init():765] run started, returning control to user process
2023-03-15 10:16:34,830 INFO    Thread-23 (_run_job):1708630 [wandb_watch.py:watch():51] Watching
2023-03-15 10:46:53,255 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_finish():1746] finishing run aceleo/for_batch_test_jc_1/mzfpmmhv
2023-03-15 10:46:53,256 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-03-15 10:46:53,256 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_restore():1932] restore
2023-03-15 10:46:53,256 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_restore():1938] restore done
2023-03-15 10:47:00,039 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-03-15 10:47:00,041 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-03-15 10:47:00,043 INFO    Thread-23 (_run_job):1708630 [wandb_run.py:_footer_sync_info():3333] logging synced files
